#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55058.5  0.015 0.011  0.032 0.010  0.003 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55059.5  0.001 0.010  0.032 0.009 -0.001 0.008 		 0.000330 0.000101 -0.000020 0.000086  0.000012 0.000071  0.000077 0.000054 		   0.015610    0.231992
55060.5  0.012 0.005  0.011 0.004  0.007 0.005 		-0.001053 0.000411  0.000301 0.000402  0.000354 0.000313 -0.000103 0.000225 		   0.029033    0.028392
55061.5  0.006 0.004  0.009 0.003  0.005 0.004 		-0.000096 0.000064  0.000114 0.000059 -0.000021 0.000048  0.000035 0.000034 		  -0.003326   -0.007859
55062.5  0.014 0.004  0.014 0.003 -0.004 0.004 		 0.000260 0.000089 -0.000005 0.000082 -0.000060 0.000068  0.000083 0.000051 		  -0.004365   -0.005132
55063.5  0.008 0.004  0.005 0.003  0.004 0.004 		-0.000028 0.000063 -0.000018 0.000059  0.000035 0.000048 -0.000075 0.000035 		   0.004273    0.006120
55064.5  0.009 0.004  0.001 0.003 -0.000 0.004 		-0.000095 0.000081  0.000054 0.000075 -0.000042 0.000062 -0.000005 0.000048 		  -0.004779   -0.007401
55065.5  0.002 0.004  0.005 0.003  0.002 0.004 		-0.000457 0.000112 -0.000089 0.000100  0.000099 0.000083 -0.000049 0.000059 		   0.040586    0.074474
55066.5  0.003 0.004  0.004 0.004  0.003 0.004 		 0.000269 0.000106  0.000056 0.000099 -0.000110 0.000082  0.000036 0.000065 		  -0.034019   -0.050730
55067.5  0.006 0.004  0.007 0.003  0.002 0.004 		-0.000125 0.000158 -0.000103 0.000141  0.000022 0.000114 -0.000002 0.000083 		   0.003643    0.018962
55068.5  0.020 0.005  0.012 0.004 -0.002 0.004 		 0.000237 0.000220  0.000010 0.000198  0.000191 0.000149  0.000018 0.000087 		   0.009675    0.007923
55069.5  0.005 0.005 -0.002 0.004  0.005 0.005 		-0.000336 0.000170  0.000316 0.000147  0.000180 0.000120 -0.000048 0.000089 		   0.032818    0.037313
55070.5  0.003 0.004  0.004 0.004  0.002 0.005 		-0.000290 0.000116 -0.000044 0.000099 -0.000005 0.000081  0.000027 0.000062 		  -0.002054   -0.032381
55071.5  0.003 0.004  0.002 0.004  0.005 0.005 		 0.001295 0.000183  0.000277 0.000152  0.000009 0.000120 -0.000128 0.000082 		   0.002997    0.040872
